ORIGIN_AIRPORT_ID,DEST_AIRPORT_ID,DISTANCE
11618,14771,2565
12266,14771,1635
12478,14771,2586
12889,14771,414
12892,14771,337
13204,14771,2446
13303,14771,2585
13930,14771,1846
14107,14771,651
14747,14771,679
10397,14783,563
11292,14783,637
13930,14783,438
11292,14794,517
14107,14794,262
10397,14814,551
11292,14814,792
11298,14814,190
12266,14814,192
10397,14831,2116
11292,14831,948
11298,14831,1438
12266,14831,1608
12478,14831,2569
12889,14831,386
12892,14831,308
13930,14831,1829
14107,14831,621
14747,14831,696
11298,14842,229
10397,14843,1547
11057,14843,1475
11298,14843,2165
11618,14843,1608
12266,14843,2007
12478,14843,1598
13204,14843,1189
13303,14843,1045
13930,14843,2072
10397,14869,1590
11057,14869,1727
11292,14869,391
11298,14869,989
11618,14869,1969
12266,14869,1195
12478,14869,1990
12889,14869,368
12892,14869,590
13204,14869,1931
13303,14869,2088
13930,14869,1250
14107,14869,507
14747,14869,689
14771,14869,599
10397,14893,2092
11057,14893,2244
11292,14893,909
11298,14893,1431
12266,14893,1609
12478,14893,2521
12889,14893,397
12892,14893,373
13930,14893,1781
14107,14893,647
14747,14893,605
14771,14893,86
10397,14908,1919
11292,14908,846
11298,14908,1205
11618,14908,2434
12266,14908,1346
12889,14908,226
13930,14908,1726
14107,14908,338
14747,14908,978
14771,14908,372
11298,14952,630
13930,14952,174
11298,14960,113
10397,14986,444
11618,14986,1034
12478,14986,1041
13930,14986,1050
10397,15016,484
11057,15016,575
11292,15016,770
11298,15016,550
11618,15016,872
12266,15016,667
12889,15016,1371
12892,15016,1592
13204,15016,882
13303,15016,1068
13930,15016,258
14107,15016,1262
14747,15016,1709
14771,15016,1735
10397,15024,1599
11057,15024,1520
11618,15024,1634
12266,15024,2070
12478,15024,1623
13303,15024,1107
13930,15024,2116
10397,15027,1638
11057,15027,1562
13303,15027,1139
11292,15041,557
12892,15041,696
14747,15041,475
14771,15041,587
13204,15070,989
10397,15096,794
11057,15096,603
12478,15096,209
13204,15096,1053
13930,15096,607
10397,15249,223
10397,15304,406
11057,15304,507
11292,15304,1506
11298,15304,929
11618,15304,997
12266,15304,787
12478,15304,1005
12889,15304,1984
12892,15304,2158
13303,15304,204
13930,15304,1012
14107,15304,1788
14747,15304,2520
10397,15323,227
10397,15356,701
11057,15356,484
13204,15356,896
10397,15370,674
11292,15370,541
11298,15370,237
12266,15370,429
12889,15370,1076
13303,15370,1168
13930,15370,585
14107,15370,935
10397,15376,1541
11292,15376,639
11298,15376,813
12266,15376,936
12478,15376,2136
12889,15376,365
12892,15376,451
13930,15376,1437
14107,15376,110
14747,15376,1216
14771,15376,751
13930,15380,224
11298,15401,181
11298,15411,102
10397,15412,152
11292,15412,1162
11298,15412,771
11618,15412,631
12266,15412,771
13930,15412,475
10397,15607,208
10397,15624,250
11298,15624,641
12266,15624,528
10397,15919,589
11292,15919,616
12266,15919,438
13930,15919,522
14771,15919,1550
14107,16218,160
